"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-1.5, 1.5] [Deg]: HH Pol., Ascending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
37,-1.935483871,-10.90909091,-8.269794721,-6.744868035,-5.337243402,-3.460410557,-13.95894428,-6.375793271,-9.523099251,-51.96127514
38,-1.876832845,-11.02639296,-8.328445748,-6.803519062,-5.337243402,-3.460410557,-14.13489736,-6.398767861,-9.480214509,-51.72421693
39,-1.876832845,-11.14369501,-8.387096774,-6.803519062,-5.395894428,-3.460410557,-14.36950147,-6.42885974,-9.455414161,-51.51443772
40,-1.876832845,-11.26099707,-8.504398827,-6.862170088,-5.395894428,-3.460410557,-14.54545455,-6.460033454,-9.427167582,-51.28350747
41,-1.876832845,-11.43695015,-8.563049853,-6.920821114,-5.395894428,-3.460410557,-14.78005865,-6.495677699,-9.39510529,-51.02386606
42,-1.818181818,-11.5542522,-8.62170088,-6.920821114,-5.454545455,-3.460410557,-15.01466276,-6.527876477,-9.345125506,-50.72593652
43,-1.818181818,-11.7888563,-8.739002933,-6.979472141,-5.454545455,-3.460410557,-15.30791789,-6.570506014,-9.314917887,-50.41261148
44,-1.759530792,-11.96480938,-8.856304985,-7.038123167,-5.513196481,-3.460410557,-15.54252199,-6.608612235,-9.258141976,-50.02477652
45,-1.759530792,-12.19941349,-8.973607038,-7.096774194,-5.513196481,-3.460410557,-15.83577713,-6.652982438,-9.210644551,-49.60702301
46,-1.700879765,-12.37536657,-9.090909091,-7.15542522,-5.513196481,-3.401759531,-16.12903226,-6.689872325,-9.143024289,-49.16360166
47,-1.700879765,-12.60997067,-9.208211144,-7.214076246,-5.571847507,-3.401759531,-16.36363636,-6.727888078,-9.100500902,-48.75716224
48,-1.642228739,-12.78592375,-9.26686217,-7.272727273,-5.571847507,-3.401759531,-16.53958944,-6.755675276,-9.043016397,-48.35837421
49,-1.583577713,-12.96187683,-9.384164223,-7.331378299,-5.571847507,-3.343108504,-16.71554252,-6.781534309,-8.987936154,-47.977966
50,-1.583577713,-13.13782991,-9.501466276,-7.390029326,-5.571847507,-3.343108504,-16.8914956,-6.814409918,-8.95664343,-47.63046673
51,-1.524926686,-13.25513196,-9.560117302,-7.448680352,-5.630498534,-3.343108504,-17.00879765,-6.840333,-8.908721883,-47.2728881
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-1.5, 1.5] [Deg]: HH Pol., Descending, Wet Season",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-1.818181818,-10.20527859,-7.917888563,-6.451612903,-5.161290323,-3.343108504,-12.78592375,-6.119535354,-9.498446167,-51.0311855
26,-1.818181818,-10.26392962,-7.917888563,-6.51026393,-5.161290323,-3.343108504,-12.90322581,-6.137275138,-9.490998712,-51.39035856
27,-1.818181818,-10.32258065,-7.976539589,-6.51026393,-5.161290323,-3.343108504,-13.02052786,-6.157792408,-9.487772845,-51.71843791
28,-1.818181818,-10.38123167,-7.976539589,-6.568914956,-5.161290323,-3.343108504,-13.07917889,-6.176233299,-9.485319717,-51.99205167
29,-1.818181818,-10.38123167,-8.035190616,-6.568914956,-5.219941349,-3.343108504,-13.13782991,-6.191205255,-9.47759592,-52.19041047
30,-1.818181818,-10.49853372,-8.035190616,-6.568914956,-5.219941349,-3.343108504,-13.25513196,-6.205092913,-9.462638317,-52.31532881
31,-1.759530792,-10.55718475,-8.093841642,-6.568914956,-5.161290323,-3.343108504,-13.37243402,-6.194981098,-9.399490195,-52.39469857
32,-1.818181818,-10.61583578,-8.152492669,-6.627565982,-5.219941349,-3.343108504,-13.5483871,-6.237883419,-9.424563366,-52.46467799
33,-1.818181818,-10.6744868,-8.152492669,-6.627565982,-5.219941349,-3.343108504,-13.66568915,-6.260066926,-9.416648068,-52.52659066
34,-1.818181818,-10.79178886,-8.211143695,-6.686217009,-5.278592375,-3.401759531,-13.7829912,-6.283517639,-9.417793295,-52.60190451
35,-1.818181818,-10.79178886,-8.211143695,-6.686217009,-5.278592375,-3.401759531,-13.84164223,-6.307572319,-9.42652052,-52.70405001
36,-1.876832845,-10.85043988,-8.269794721,-6.744868035,-5.337243402,-3.460410557,-13.95894428,-6.342395041,-9.463201417,-52.85597696
37,-1.876832845,-10.90909091,-8.269794721,-6.744868035,-5.337243402,-3.460410557,-14.01759531,-6.372119392,-9.490144688,-53.03352799
38,-1.935483871,-10.96774194,-8.328445748,-6.803519062,-5.395894428,-3.519061584,-14.13489736,-6.413792399,-9.542433201,-53.2455762
39,-1.994134897,-11.02639296,-8.387096774,-6.803519062,-5.454545455,-3.57771261,-14.19354839,-6.460963634,-9.591325967,-53.41270477
40,-1.994134897,-11.14369501,-8.445747801,-6.862170088,-5.454545455,-3.57771261,-14.36950147,-6.512366622,-9.605078407,-53.45849947
